tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,n_promedio,n_varianza,mandel_Q,fano_F,energia_cinetica,energia_potencial,energia_total,pureza,entropia,drive_activo,I_drive_real,I_drive_imag,omega,squeezing_r,squeezing_theta_inicial,squeezing_theta_actual,squeezing_dB,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse
1.488000000000001,93,0,1.2089595493938017,-1.7431055068266914,1.3553594714577037,1.569967398997882,2.127870184111595,0.8548634955565899,-1.2325617242007672,1.5,-0.9644012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.751607220922856,1.6492912444702852,4.400898465393141,0.4999999999749999,0.9547712524422195,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.2733981633974496,-2.6410899009891557,1.836999296870106,-1.8782522515442688,2.464797633916175,1.0000000000000007,4.301796930786281,4.0551999668446745,0.24659696394160668,-0.8681944901923438,0.9981493556996865,3.141592653589794
1.5040000000000011,94,0,1.180916307708284,-1.7622249215660961,1.377408368764821,1.5506589297595121,2.135890586950653,0.8350339291943072,-1.2460811920153183,1.5,-0.9804012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.7549898953157745,1.645908570077366,4.400898465393141,0.4999999999750002,0.9547712524422187,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.2893981633974496,-2.781254346517401,1.8972538143433653,-1.887333727623285,2.4045431164429156,0.9999999999999992,4.301796930786281,4.055199966844675,0.24659696394160624,-0.8521944901923438,0.9981493556996865,3.141592653589792
1.5200000000000011,95,0,1.152570757897316,-1.7808932163495956,1.3992026450004478,1.531022171299303,2.1422102716363134,0.8149905987065105,-1.2592816698499203,1.5,-0.9964012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.7578047685250198,1.6430936968681211,4.400898465393141,0.499999999975,0.9547712524422192,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3053981633974496,-2.91761234913128,1.957768041776249,-1.8944827388773242,2.3440288890100325,1.0,4.301796930786281,4.055199966844675,0.24659696394160624,-0.8361944901923437,0.9981493556996865,3.141592653589793
1.5360000000000011,96,0,1.1239301562668451,-1.7991056121956779,1.4207322118849484,1.511064827497081,2.146818474671476,0.7947386350763422,-1.2721597784543388,1.5,-1.0124012244017022,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.760048958366384,1.6408495070267564,4.400898465393141,0.499999999975,0.9547712524422192,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3213981633974496,-3.050244544544227,2.018480017887498,-1.8996919653435298,2.2833169128987834,1.0,4.301796930786281,4.0551999668446745,0.24659696394160668,-0.8201944901923437,0.9981493556996865,3.141592653589793
1.5520000000000012,97,0,1.095001834654475,-1.81685744683047,1.4419873712756595,1.4907948724984919,2.1497073793053323,0.7742832226958899,-1.2847122211031023,1.4999999999999998,-1.0284012244017025,2.8254492326965694,6.077254418653277,1.150898465352407,2.1508984653170145,2.7617201669855644,1.6391782984075765,4.400898465393141,0.4999999999749998,0.9547712524422196,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3373981633974497,-3.1792291383997986,2.0793275789184866,-1.9029560732291741,2.2224693518677947,1.000000000000001,4.301796930786281,4.0551999668446745,0.24659696394160657,-0.8041944901923438,0.9981493556996865,3.1415926535897944
1.5680000000000012,98,0,1.0657931985525526,-1.834144175881253,1.4629587903572268,1.470220564576214,2.150872098710737,0.7536295980390103,-1.2969357844394456,1.5000000000000002,-1.0444012244017025,2.8254492326965712,6.07725441865328,1.1508984653524068,2.150898465317014,2.7628166832109606,1.6380817821821805,4.400898465393141,0.499999999975,0.9547712524422192,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3533981633974497,-3.304641855962387,2.14024842228348,-1.9042717203729957,2.1615485085028014,1.0000000000000002,4.301796930786281,4.055199966844675,0.24659696394160635,-0.7881944901923438,0.9981493556996865,3.141592653589793
1.5840000000000012,99,0,1.0363117252124028,-1.8509613740397972,1.4836374794275164,1.4493504615600215,2.1503106655960176,0.73278304832082,-1.3088273392979102,1.5,-1.0604012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.7633373843057707,1.6375610810873706,4.400898465393142,0.4999999999749998,0.9547712524422196,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3693981633974497,-3.2234682633679164,2.2011801703620346,-1.9036375596672779,2.100616760424247,1.0000000000000009,4.301796930786281,4.0551999668446745,0.2465969639416068,-0.7721944901923438,0.9981493556996865,3.1415926535897944
1.6000000000000012,100,0,1.006564961730194,-1.8673047361952182,1.5040147719913632,1.4281934380251327,2.148024028050931,0.7117489101441977,-1.320383841505396,1.4999999999999998,-1.0764012244017025,2.8254492326965694,6.077254418653277,1.150898465352407,2.1508984653170145,2.7632817371175706,1.6376167282755696,4.400898465393141,0.4999999999750001,0.9547712524422193,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.3853981633974497,-3.095740666907505,2.2620604343682325,-1.9010542404371706,2.0397364964180484,0.9999999999999998,4.301796930786281,4.055199966844675,0.24659696394160646,-0.7561944901923437,0.9981493556996865,3.1415926535897927
1.6160000000000012,101,0,0.9765605231149221,-1.8831700785360599,1.5240823069084393,1.4067587044532301,2.1440160515466062,0.6905325681336436,-1.3316023326604511,1.5,-1.0924012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.76264979862422,1.6382486667689204,4.400898465393141,0.4999999999750001,0.9547712524422189,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.4013981633974497,-2.9643922216742755,2.3228268782313504,-1.8965244077758403,1.9789700525549307,0.9999999999999997,4.301796930786281,4.0551999668446745,0.24659696394160657,-0.7401944901923437,0.9981493556996865,3.1415926535897922
1.6320000000000012,102,0,0.94630609033901,-1.898553339621328,1.5438320123713405,1.385055828608991,2.1382935271280727,0.6691394535568436,-1.3424799408906074,1.5,-1.1084012244017023,2.8254492326965703,6.077254418653278,1.1508984653524068,2.150898465317014,2.761442215875518,1.6394562495176226,4.400898465393141,0.4999999999749998,0.9547712524422196,0,0.0,0.0,1.0,0.7,0.7853981633974483,2.4173981633974497,-2.8293455847434226,2.383417282422543,-1.890052699836122,1.9183796483637385,1.0000000000000009,4.301796930786281,4.0551999668446745,0.24659696394160646,-0.7241944901923437,0.9981493556996865,3.1415926535897944
