tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo,n_basis
0.016,1,0,0,-0.00010239890773682859,0.012799590402184528,0.7071067811865475,0.7071067811865475,0.4999999999999999,-7.240696204680712e-05,0.009050677169794928,0.009050966799187809,1.5787963267948966,0.7999498245245044,0.8,0.7,1.0,0.2500819147572318,0.2500000052427681,0.50008192,-8.191398827557695e-05,0.010239030096213044,0.9999999998000002,0.0,0.4999999999999999,-9.870051417880735e-19,0.4999999999999999,0.2499999999999999,0.9999999999999998,0.4999999999999999,0.4999999999999999,0.0,2.0000000827403692e-05,1.5707963267948961,1,split_operator,30
0.032,2,0,0,-0.0004095629949938062,0.025595101397210104,0.7071067811865476,0.7071067811865475,0.5,-0.00028960477108319236,0.01809846976312454,0.018100786687052235,1.5867965776854942,0.7997993043919629,0.8,0.7,1.0,0.2503275546077667,0.25000008387092343,0.5003276384786901,-0.00032756819850073514,0.0204709442933304,0.9999999998000002,0.0,0.5,7.945169045245337e-19,0.4999999999999999,0.24999999999999994,0.9999999999999999,0.5,0.4999999999999999,0.0,2.0000011929630398e-05,1.5707963267948963,1,split_operator,30
0.048,3,0,0,-0.0009213879406782929,0.038381651941005415,0.7071067811865475,0.7071067811865475,0.4999999999999999,-0.0006515196609571292,0.027139926360626742,0.027147745407839232,1.5947976649625826,0.799548458483424,0.8,0.7,1.0,0.2507365756028602,0.2500004244778686,0.5007370000807287,-0.0007366943076345456,0.0306879906434782,0.9999999998000002,0.0,0.49999999999999994,1.7618285302889447e-19,0.49999999999999994,0.24999999999999994,0.9999999999999999,0.49999999999999994,0.49999999999999994,0.0,1.999999527628803e-05,1.5707963267948963,1,split_operator,30
0.064,4,0,0,-0.001637691346094155,0.051154363585412824,0.7071067811865476,0.7071067811865477,0.5000000000000001,-0.001158022656313702,0.0361715973785276,0.03619012950221152,1.6028000907557372,0.7991973182646693,0.8,0.7,1.0,0.2513083844569144,0.2500013410164726,0.5013097254733869,-0.0013088385319437051,0.040882430194997786,0.9999999997999998,4.0786041843518085e-15,0.5000000000000001,5.149960319306146e-19,0.5000000000000002,0.25000000000000017,1.0000000000000004,0.5000000000000002,0.5000000000000001,0.0,2.0000011929630398e-05,1.570796326794897,1,split_operator,30
0.08,5,0,0,-0.002558212788079158,0.06390836192839378,0.7071067811865475,0.7071067811865475,0.4999999999999999,-0.0018089296101689168,0.04519003609409142,0.04522622677738915,1.6108043576251512,0.7987459277822676,0.8,0.7,1.0,0.2520421393621852,0.25000327222633445,0.5020454115885197,-0.0020433620468787487,0.05104654384153984,0.9999999998000004,0.0,0.49999999999999983,2.2497195079074217e-18,0.4999999999999999,0.24999999999999983,0.9999999999999998,0.4999999999999999,0.49999999999999983,0.0,2.0000006378517816e-05,1.5707963267948961,1,split_operator,30
0.096,6,0,0,-0.0036826138953373576,0.07663877806313521,0.7071067811865476,0.7071067811865475,0.5,-0.0026040012578848522,0.05419179967029372,0.05425432677728397,1.6188109687306989,0.7981943436580489,0.8,0.7,1.0,0.2529367511515052,0.25000678082255107,0.5029435319740563,-0.0029394415811348127,0.061172639154859085,0.9999999998000002,0.0,0.5,7.37257477290143e-18,0.49999999999999994,0.24999999999999994,1.0,0.5,0.49999999999999994,0.0,2.0000006378517816e-05,1.5707963267948963,1,split_operator,30
0.112,7,0,0,-0.005010478447945715,0.08934075002566091,0.7071067811865476,0.7071067811865476,0.5000000000000001,-0.0035429432875314624,0.06317345017943704,0.06327272125262574,1.6268204280012795,0.7975426350820025,0.8,0.7,1.0,0.2539908848075738,0.2500125524471387,0.5040034372547125,-0.0039960701843962075,0.07125305719566809,0.9999999998,0.0,0.5000000000000001,7.209944447028604e-18,0.5,0.25000000000000006,1.0,0.5000000000000001,0.5,0.0,2.0000011929630398e-05,1.5707963267948966,1,split_operator,30
0.128,8,0,0,-0.006541312500007863,0.10200942424055172,0.7071067811865475,0.7071067811865475,0.4999999999999999,-0.004625406426615888,0.0721315556254295,0.07227970463107752,1.6348332403045271,0.7967908838035977,0.8,0.7,1.0,0.25520296131694437,0.2500213943846113,0.5052243557015557,-0.005212058168116786,0.08128017929692535,0.9999999998000004,0.0,0.49999999999999983,-8.890457814381136e-18,0.4999999999999999,0.24999999999999983,0.9999999999999998,0.4999999999999999,0.49999999999999983,0.0,2.0000006378517816e-05,1.5707963267948961,1,split_operator,30
0.14400000000000002,9,0,0,-0.00827454452542162,0.11463995696437979,0.7071067811865475,0.7071067811865475,0.4999999999999999,-0.00585098654515565,0.08106269096444692,0.08127357448733885,1.64284991161697,0.7959391841215293,0.8,0.7,1.0,0.25657115986639734,0.2500342340435515,0.5066053939099489,-0.006586034218541351,0.09124643381395568,0.9999999998000004,0.0,0.49999999999999983,1.0299920638612292e-17,0.49999999999999983,0.24999999999999983,0.9999999999999997,0.49999999999999983,0.49999999999999983,0.0,1.999999527628803e-05,1.5707963267948961,1,split_operator,30
0.16000000000000003,10,0,0,-0.010209525586720457,0.12722751572646157,0.7071067811865476,0.7071067811865476,0.5000000000000001,-0.0072192247750676,0.08996343912369908,0.09025263201323527,1.6508709491947184,0.7949876428718883,0.8,0.7,1.0,0.25809342037896355,0.25005211720635295,0.5081455375853166,-0.008116446681027128,0.10114430283582578,0.9999999998,0.0,0.5,-4.336808689942018e-19,0.5000000000000001,0.25000000000000006,1.0,0.5000000000000001,0.5,0.0,2.0000011929630398e-05,1.5707963267948966,1,split_operator,30
