tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,n_promedio,n_varianza,mandel_Q,fano_F,energia_total,energia_cinetica,energia_potencial,pureza,entropia,fase,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,prob_n0,prob_n1,prob_n2,prob_n3,prob_n4,prob_n5
0.016,1,0,1.3670774481224124,0.021875105877518855,0.7548084717833072,0.6616705966152522,0.49943457185510765,0.9846153846153841,1.153609467455621,0.17163461536718402,1.1716346152656214,1.4846153846153838,0.21914324934116824,1.2193182891203693,1.0011410842397437,0.0,-0.03414574974952774,0.5697358290758516,0.002111566407619017,0.4378079784251838,0.24943043285140085,1.0075438075010354,0.5697696170216608,0.43777419047937466,0.016000000000000018,0.6400473802127364,1.5690059585087015,0.3846153846153845,0.38461538461538436,0.13846153846153839,0.06153846153846151,0.015384615384615377,0.015384615384615377
0.032,2,0,1.3665524791812278,0.04374461184739929,0.7547413463129795,0.6617471629457184,0.4994479446804462,0.9846153846153843,1.1536094674556214,0.1716346153671842,1.1716346152656216,1.4846153846153844,0.21991144936619345,1.2185500890953445,1.001141084239743,0.0,-0.0682886337359134,0.5696344998343288,0.004220970755741835,0.43790930766670727,0.24943043285140118,1.0075438075010361,0.5697696170216613,0.4377741904793748,0.032000000000000056,0.6400473802127368,1.5690059585087026,0.3846153846153845,0.38461538461538464,0.1384615384615384,0.06153846153846151,0.01538461538461538,0.015384615384615384
0.048,3,0,1.3656776802685078,0.06560291943554866,0.7546295336450732,0.6618746667244906,0.4994701710817906,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,0.22119090874506125,1.2172706297164766,1.001141084239743,0.0,-0.10242578029750758,0.5694657330493806,0.00632605319863222,0.4380780744516554,0.24943043285140118,1.0075438075010361,0.5697696170216612,0.4377741904793749,0.04800000000000005,0.6400473802127365,1.5690059585087026,0.38461538461538436,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615384,0.015384615384615384
0.064,4,0,1.3644532753279965,0.0874444330345989,0.7544731284303298,0.6620529480166877,0.49950115887667285,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,0.22298031742316468,1.2154812210383732,1.0011410842397435,0.0,-0.13655430595046758,0.5692297015234489,0.008424658315807299,0.4383141059775869,0.249430432851401,1.007543807501036,0.5697696170216612,0.43777419047937466,0.06399999999999996,0.640047380212737,1.5690059585087022,0.3846153846153845,0.3846153846153845,0.13846153846153839,0.06153846153846152,0.015384615384615384,0.01538461538461538
0.08,5,0,1.3628795778006721,0.10926356133635139,0.7542722631332736,0.6622817833587481,0.49954077956594334,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,0.22527784320237318,1.2131836952591644,1.0011410842397448,0.0,-0.17067130941453915,0.5689266469321903,0.010514637318999681,0.43861716056884376,0.2494304328514003,1.0075438075010341,0.5697696170216593,0.43777419047937477,0.08000000000000064,0.6400473802127336,1.5690059585086997,0.3846153846153845,0.3846153846153845,0.13846153846153839,0.06153846153846151,0.01538461538461538,0.01538461538461538
0.096,6,0,1.3609569905445063,0.1310547187631214,0.7540271079855361,0.662560886201415,0.4995888688867868,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,0.22808113361704263,1.2103804048444953,1.0011410842397435,0.0,-0.2047738655626022,0.5685568795770313,0.012593850252329203,0.4389869279240044,0.24943043285140096,1.0075438075010357,0.569769617021661,0.4377741904793747,0.09599999999999999,0.6400473802127365,1.569005958508702,0.38461538461538464,0.38461538461538436,0.13846153846153847,0.06153846153846152,0.015384615384615377,0.01538461538461538
0.112,7,0,1.358686005731338,0.15281232689761542,0.753737870925581,0.6628899074760508,0.4996452275190539,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.4846153846153838,0.23138731834273543,1.2070742201188025,1.0011410842397441,0.0,-0.23885901926774508,0.5681207780674278,0.014660168183430133,0.43942302943360717,0.24943043285140068,1.007543807501035,0.5697696170216603,0.4377741904793747,0.11200000000000053,0.6400473802127356,1.569005958508701,0.38461538461538436,0.38461538461538436,0.13846153846153839,0.06153846153846152,0.01538461538461538,0.01538461538461538
0.128,8,0,1.3560672047208757,0.1745308159109757,0.7534047975246929,0.6632684362818813,0.49970962194147045,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,0.2351930121351814,1.2032685263263565,1.0011410842397437,0.0,-0.27292377912091703,0.5676187889332236,0.016711475383292512,0.4399250185678119,0.2494304328514009,1.0075438075010354,0.5697696170216608,0.4377741904793746,0.12799999999999967,0.6400473802127365,1.5690059585087017,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.061538461538461535,0.01538461538461538,0.01538461538461538
0.14400000000000002,9,0,1.353101257911877,0.19620462598862548,0.7530281708989556,0.6636960006912866,0.49978178543351154,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153844,0.23949431829647236,1.1989672201650654,1.0011410842397441,0.0,-0.30696511099130136,0.5670514261674267,0.01874567149258355,0.4404923813336083,0.24943043285140068,1.007543807501035,0.5697696170216603,0.43777419047937466,0.144,0.6400473802127356,1.569005958508701,0.3846153846153845,0.38461538461538464,0.1384615384615384,0.06153846153846152,0.015384615384615384,0.015384615384615384
0.16000000000000003,10,0,1.3497889245705266,0.21782820875355197,0.7526083116069984,0.6641720686697832,0.4998614192180929,0.9846153846153843,1.1536094674556214,0.1716346153671842,1.1716346152656216,1.484615384615384,0.24428683266494008,1.1941747057965977,1.0011410842397432,0.0,-0.34097993140044186,0.5664192706999367,0.02076067367223222,0.44112453680109914,0.24943043285140107,1.007543807501036,0.5697696170216613,0.4377741904793746,0.1599999999999997,0.6400473802127372,1.5690059585087022,0.3846153846153845,0.3846153846153845,0.13846153846153839,0.061538461538461535,0.015384615384615384,0.01538461538461538
0.17600000000000005,11,0,1.3461310526360706,0.23939602868665982,0.7521455775331748,0.6646960491069003,0.49994819373952903,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,0.24956564812463342,1.1888958903369042,1.0011410842397432,0.0,-0.3749651006798366,0.5657229698027131,0.022754418736073867,0.44182083769832275,0.24943043285140107,1.007543807501036,0.5697696170216612,0.43777419047937466,0.17600000000000013,0.640047380212737,1.5690059585087022,0.38461538461538436,0.3846153846153845,0.13846153846153839,0.06153846153846151,0.015384615384615384,0.015384615384615384
