tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,n_promedio,n_varianza,mandel_Q,fano_F,energia_cinetica,energia_potencial,energia_total,pureza,entropia,drive_activo,I_drive_real,I_drive_imag,omega,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse
10.992000000000008,687,1,-1.1556508206288438,2.742142620962073,1.461945805761931,1.4712278517623911,2.150855387204164,-0.8171685319504539,1.9389876422629344,2.1041476864655753,1.9696484541209556,4.427437486458433,4.427437486458433,0.0,0.9999999999774136,4.841928772749064,1.7364071791025109,6.5783359518515745,0.4999999999749999,0.9547712524422195,1,0.9091384172901492,0.08518208142979934,1.0,2.1372855389849015,-1.9042528447307545,2.1645113918013803,1.0000000000000007,4.301796930786281,4.055199966844675,0.24659696394160635,-0.7889724509617166,0.9981493556996865,3.141592653589794
11.008000000000008,688,1,-1.111588002952373,2.760281532903258,1.4826389310998103,1.4503719284285304,2.1503778856624467,-0.7860114147732349,1.951813789899892,2.1041366435184767,1.9536351751865115,4.427391014597201,4.427391014597201,0.0,0.9999999999774133,4.861366435830126,1.7169230441602163,6.578289479990342,0.4999999999749998,0.9547712524422196,1,0.9091392196862801,0.08513960058333374,1.0,2.198218200012788,-1.9037134897736303,2.103578730773494,1.0000000000000009,4.301796930786281,4.0551999668446745,0.2465969639416068,-0.7729724509617166,0.9981493556996865,3.1415926535897944
11.024000000000008,689,1,-1.0670870432284965,2.777711919387822,1.503031074118943,1.4292286454654963,2.148175066155567,-0.7545444843831723,1.9641389343818294,2.1040862939688703,1.9375737856452568,4.427179132467655,4.427179132467655,0.0,0.9999999999774123,4.879189014064158,1.6988885837966392,6.578077597860798,0.4999999999749998,0.9547712524422196,1,0.909143838217008,0.0849435933705577,1.0,2.2591024097671433,-1.9012248985463223,2.0426945210191376,1.0000000000000009,4.301796930786281,4.0551999668446745,0.24659696394160668,-0.7569724509617167,0.9981493556996865,3.1415926535897944
11.040000000000008,690,1,-1.0221593836519343,2.7944268613757086,1.5231138592164222,1.407807196546863,2.1442506521651445,-0.7227758316337445,1.975958183208604,2.1039999155377593,1.9214637057193389,4.426815644582899,4.426815644582899,0.0,0.9999999999774104,4.895371293113616,1.6823428168624226,6.577714109976038,0.499999999975,0.9547712524422192,1,0.9091571829339447,0.0845942604857303,1.0,2.319875828137143,-1.8967896191487996,1.981921102649138,1.0,4.301796930786281,4.0551999668446745,0.24659696394160646,-0.7409724509617166,0.9981493556996865,3.141592653589793
11.056000000000008,691,1,-0.9768166149534384,2.8104196240942687,1.54287920086203,1.3861171315345702,2.138611292203227,-0.690713652409265,1.987266774176805,2.1038808382062975,1.9053044009463804,4.426314581371633,4.426314581371633,0.0,0.9999999999774078,4.909889582913898,1.6673234638508752,6.577213046764774,0.499999999975,0.9547712524422192,1,0.9091841549538501,0.08409195961520147,1.0,2.380476228452656,-1.8904121929196172,1.921320702333625,1.0000000000000002,4.301796930786281,4.0551999668446745,0.24659696394160635,-0.7249724509617166,0.9981493556996865,3.141592653589793
11.072000000000008,692,1,-0.931070473409717,2.825683659391005,1.5623192891336017,1.3641683802182776,2.1312665740411565,-0.65836624551058,1.9980600770433983,2.103732441329545,1.8890953834208768,4.425690184702367,4.425690184702367,0.0,0.9999999999774046,4.92272175626835,1.6538668938271588,6.576588650095509,0.4999999999749998,0.9547712524422196,1,0.9092296414403166,0.08343720507117243,1.0,2.4408415611989227,-1.882099149785985,1.8609553695873593,1.0000000000000009,4.301796930786282,4.055199966844675,0.24659696394160668,-0.7089724509617166,0.9981493556996865,3.1415926535897944
11.088000000000008,693,1,-0.884932837806047,2.8402126080380983,1.5814265767179434,1.3419712788418567,2.122229045552678,-0.625742010507311,2.008333595155269,2.1035581506445262,1.8728362130256908,4.424956893143019,4.424956893143019,0.0,0.9999999999774009,4.933847286047512,1.6420080724886486,6.5758553585361605,0.4999999999749998,0.9547712524422196,1,0.9092985105997404,0.08263066726508489,1.0,2.5009100175498333,-1.8718590015776913,1.8008869132364484,1.0000000000000009,4.301796930786281,4.0551999668446745,0.2465969639416069,-0.6929724509617166,0.9981493556996865,3.1415926535897944
11.104000000000008,694,1,-0.8384157263523573,2.8540003019879627,1.6001937672215722,1.3195365997695987,2.111514242572058,-0.5928494455571965,2.0180829670441427,2.1033614351725585,1.8565264986496504,4.424129326971165,4.424129326971165,0.0,0.9999999999773966,4.943247280939448,1.6317805114248591,6.575027792364307,0.4999999999749998,0.9547712524422196,1,0.9093956066967039,0.08167317202117833,1.0,2.5606200926547675,-1.8597022333117341,1.741176838131514,1.0000000000000009,4.301796930786281,4.0551999668446745,0.2465969639416068,-0.6769724509617165,0.9981493556996865,3.1415926535897944
11.120000000000008,695,1,-0.7915312935535822,2.867040766579087,1.618613804653286,1.2968755846927242,2.0991407243014453,-0.5596971451930978,2.02730396798635,2.103145804016094,1.8401658993870205,4.423222272950503,4.423222272950503,0.0,0.9999999999773921,4.950904519699248,1.6232162186443966,6.574120738343645,0.4999999999750001,0.9547712524422193,1,0.9095257450938719,0.08056569973091815,1.0,2.619910648614186,-1.8456412924565802,1.6818862821720952,0.9999999999999999,4.301796930786281,4.0551999668446745,0.24659696394160635,-0.6609724509617165,0.9981493556996865,3.1415926535897927
11.136000000000008,696,1,-0.744291827035105,2.8793282226914507,1.6366798639561424,1.273999981831548,2.085130116944186,-0.5262937980782476,2.0359925115269344,2.102914803050609,1.823754125714421,4.422250668889381,4.422250668889381,0.0,0.9999999999773871,4.956803483847146,1.616345650435376,6.573149134282522,0.4999999999750001,0.9547712524422189,1,0.9096937073214807,0.07930938434916049,1.0,2.678720977079497,-1.8296905761870432,1.6230759537067843,0.9999999999999997,4.301796930786281,4.0551999668446745,0.24659696394160668,-0.6449724509617166,0.9981493556996865,3.1415926535897922
