tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,n_promedio,n_varianza,mandel_Q,fano_F,energia_cinetica,energia_potencial,energia_total,pureza,entropia,drive_activo,I_drive_real,I_drive_imag,omega,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse
0.016,1,0,1.8538519997689897,1.0311317873834154,1.4456732745816012,1.4872208020152191,2.1500353668752172,1.3108713203528946,0.7291202791558183,1.4999999999999998,0.5075987755982989,2.2499999999999996,2.2499999999999996,0.0,0.9999999999555556,1.6375292384496543,2.763369226943486,4.400898465393141,0.499999999975,0.9547712524422192,0,0.0,0.0,1.0,2.0899712168394897,1.9033265822801533,2.2118257139467916,1.0000000000000002,4.301796930786281,4.0551999668446745,0.2465969639416068,0.8013981633974483,0.9981493556996865,3.141592653589793
0.032,2,0,1.870112116463073,1.0013394388807457,1.4244670415508516,1.5075445526821574,2.147447528965255,1.3223689591301653,0.7080539075021077,1.5,0.49159877559829884,2.25,2.25,0.0,0.9999999999555556,1.6376856250898264,2.763212840303315,4.400898465393142,0.4999999999749999,0.9547712524422195,0,0.0,0.0,1.0,2.0291063524646358,1.9004028229980554,2.272690578321646,1.0000000000000004,4.301796930786281,4.0551999668446745,0.24659696394160657,0.8173981633974483,0.9981493556996865,3.141592653589794
0.048,3,0,1.8858934946685597,0.9712907529503244,1.4029847442404446,1.5275571145508293,2.1431393276707666,1.3335280786757346,0.686806277914962,1.5,0.4755987755982988,2.25,2.25,0.0,0.9999999999555556,1.638418232490832,2.7624802329023095,4.400898465393142,0.49999999997499966,0.9547712524422198,0,0.0,0.0,1.0,1.968366192571426,1.8955332172792714,2.333430738214856,1.0000000000000013,4.301796930786281,4.055199966844675,0.24659696394160646,0.8333981633974483,0.9981493556996865,3.1415926535897953
0.064,4,0,1.901192094438816,0.940993421891645,1.381236015232812,1.547250464860187,2.1371180666506007,1.344345822315942,0.665382829671516,1.5,0.4595987755982988,2.25,2.25,0.0,0.9999999999555556,1.6397263105267061,2.7611721548664345,4.400898465393141,0.4999999999750001,0.9547712524422189,0,0.0,0.0,1.0,1.907812929776217,1.8887227511745606,2.3939840010100646,0.9999999999999997,4.301796930786281,4.055199966844675,0.24659696394160635,0.8493981633974483,0.9981493556996865,3.1415926535897922
0.08,5,0,1.916003999415852,0.9104552016559962,1.3592308727103966,1.566616853432011,2.129393992893208,1.3548194207674946,0.6437890470575205,1.5,0.4435987755982988,2.25,2.25,0.0,0.9999999999555556,1.641608519839838,2.759289945553303,4.400898465393141,0.4999999999750002,0.9547712524422187,0,0.0,0.0,1.0,1.8475085653290664,1.8799783980061258,2.454288365457215,0.9999999999999994,4.301796930786281,4.055199966844675,0.24659696394160635,0.8653981633974484,0.9981493556996865,3.1415926535897922
0.096,6,0,1.9303254178328844,0.8796839098609806,1.3369797476513516,1.5856487899772789,2.1199803190874933,1.3649461928463882,0.622030457963395,1.5000000000000002,0.4275987755982988,2.250000000000001,2.250000000000001,0.0,0.9999999999555556,1.6440629332123553,2.756835532180786,4.400898465393141,0.4999999999750002,0.9547712524422187,0,0.0,0.0,1.0,1.7875148456298722,1.8693091112275442,2.5142820851564087,0.9999999999999994,4.301796930786281,4.055199966844675,0.2465969639416059,0.8813981633974483,0.9981493556996865,3.1415926535897922
0.112,7,0,1.9441526834850118,0.8486874237892464,1.3144935142500531,1.6043390326800713,2.1088932531161575,1.3747235461542753,0.6001126324691174,1.5,0.4115987755982988,2.25,2.25,0.0,0.9999999999555556,1.6470870375394275,2.7538114278537136,4.400898465393141,0.4999999999749999,0.9547712524422195,0,0.0,0.0,1.0,1.7278931990054545,1.8567258152562134,2.573903731780827,1.0000000000000007,4.301796930786281,4.0551999668446745,0.2465969639416068,0.8973981633974484,0.9981493556996865,3.141592653589794
0.128,8,0,1.9574822566677428,0.8174736783719476,1.2917835239746307,1.6226805779246778,2.0961520352367304,1.3841489777421068,0.5780411814183148,1.5000000000000002,0.39559877559829876,2.250000000000001,2.250000000000001,0.0,0.9999999999555556,1.6506777364024643,2.7502207289906773,4.400898465393142,0.4999999999749998,0.9547712524422196,0,0.0,0.0,1.0,1.6687046728123154,1.8422413942876994,2.633092257973966,1.0000000000000009,4.301796930786281,4.0551999668446745,0.2465969639416068,0.9133981633974483,0.9981493556996865,3.1415926535897944
0.14400000000000002,9,0,1.9703107250831382,0.7860506641574437,1.2688616437301115,1.6406666510467023,2.081778983660296,1.3932200747508703,0.5558217549819179,1.4999999999999998,0.37959877559829874,2.2499999999999996,2.2499999999999996,0.0,0.9999999999555556,1.65483135323958,2.746067112153561,4.400898465393141,0.49999999997499955,0.9547712524422202,0,0.0,0.0,1.0,1.6100098709294801,1.8258706791034496,2.6917870598568014,1.0000000000000018,4.301796930786281,4.0551999668446745,0.2465969639416069,0.9293981633974484,0.9981493556996865,3.141592653589796
0.16000000000000003,10,0,1.9826348047133444,0.7544264252657638,1.2457402986599664,1.658290698002271,2.0657995493943933,1.4019345150292721,0.5334600412117476,1.5,0.3635987755982988,2.25,2.25,0.0,0.9999999999555556,1.6595436351100687,2.741354830283072,4.400898465393141,0.4999999999750002,0.9547712524422187,0,0.0,0.0,1.0,1.5518688917054222,1.8076304318853669,2.7499280390808587,0.9999999999999994,4.301796930786281,4.055199966844675,0.24659696394160624,0.9453981633974483,0.9981493556996865,3.1415926535897922
0.17600000000000005,11,0,1.9944513406612814,0.7226090573293545,1.222432520191853,1.675546377861167,2.048242381387157,1.4102900677281929,0.5109617645844052,1.5,0.3475987755982987,2.25,2.25,0.0,0.9999999999555556,1.6648097570490474,2.7360887083440937,4.400898465393141,0.499999999975,0.9547712524422192,0,0.0,0.0,1.0,1.494341266422605,1.7875393290527992,2.8074556643636766,1.0000000000000002,4.301796930786281,4.055199966844675,0.24659696394160646,0.9613981633974483,0.9981493556996865,3.141592653589793
