tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo,n_basis
25.35999999999898,1584,4,2,0.8225524005433277,1.3275715420279952,0.7071067811845081,0.707106781188689,0.5000000000000722,0.5816323803054602,0.938734839878277,1.104318489123989,1.016095532551805,0.3646183561501038,0.8,0.7,1.0,1.1312230996028088,0.5882962258183534,1.719519325421162,0.2999177041334299,0.48405695332590604,0.9999999997998557,2.2558497663651527e-12,0.49999999999711586,3.0957458818647865e-12,0.5000000000030285,0.25000000000007216,1.0000000000001443,0.5000000000043527,0.4999999999957916,0.0,2.083853738260213e-05,1.5707963267951233,1,split_operator,30
25.375999999998978,1585,4,2,0.8011602070351832,1.3463956003973148,0.7071067811844391,0.7071067811887582,0.5000000000000724,0.5665058152113963,0.9520454592006743,1.1078444814381445,1.0340313357029034,0.3725705816212992,0.8,0.7,1.0,1.156390556386186,0.570928838666838,1.7273193950530241,0.2984887243069387,0.5016273919323859,0.9999999997998554,2.259320219109244e-12,0.4999999999970183,2.999156478722398e-12,0.5000000000031264,0.25000000000007233,1.0000000000001448,0.5000000000043529,0.4999999999957918,0.0,2.0838526727120046e-05,1.5707963267951237,1,split_operator,30
25.391999999998976,1586,4,2,0.7794685617118738,1.3650022203820056,0.7071067811843724,0.7071067811888244,0.5000000000000719,0.5511675057081908,0.9652023263668102,1.1114860098860855,1.0519444587305167,0.38047607232727315,0.8,0.7,1.0,1.1816155308255127,0.5537856193470506,1.7354011501725632,0.2965691368627225,0.5193506835289524,0.9999999997998561,2.2491303928078863e-12,0.4999999999969239,2.900346629530759e-12,0.5000000000032201,0.250000000000072,1.0000000000001439,0.5000000000043524,0.4999999999957916,0.0,2.083850541613954e-05,1.5707963267951226,1,split_operator,30
25.407999999998975,1587,4,2,0.7574809877501185,1.383385891056653,0.707106781184308,0.7071067811888904,0.500000000000073,0.5356199430579929,0.9782015445639537,1.1152430162026357,1.0698315867215331,0.38833383661363774,0.8,0.7,1.0,1.2068782617889615,0.536888723399864,1.7437669851888256,0.29415549813489145,0.537215550591206,0.9999999997998539,2.2827204493353624e-12,0.49999999999683287,2.7988722450800196e-12,0.5000000000033133,0.2500000000000731,1.000000000000146,0.5000000000043547,0.4999999999957915,0.0,2.0838739835726478e-05,1.5707963267951262,1,split_operator,30
25.423999999998973,1588,4,2,0.7352010961736544,1.4015411427036857,0.7071067811842456,0.7071067811889521,0.5000000000000726,0.519865680640174,0.9910392461177188,1.119115326163058,1.087689463037574,0.3961428888127443,0.8,0.7,1.0,1.2321587873472768,0.5202603259058438,1.7524191132531206,0.2912446860965277,0.5552105570605528,0.9999999997998548,2.269286465929703e-12,0.4999999999967446,2.6931790131357047e-12,0.5000000000034006,0.2500000000000726,1.0000000000001452,0.5000000000043539,0.49999999999579137,0.0,2.083866524796213e-05,1.5707963267951246,1,split_operator,30
25.43999999999897,1589,4,2,0.712632585181928,1.4194625483093766,0.7071067811841859,0.7071067811890116,0.5000000000000725,0.5039073334766412,1.0037115935498975,1.123102650588099,1.1055148947194766,0.40390224936732483,0.8,0.7,1.0,1.257436963028217,0.5039226007298689,1.7613595637580859,0.2878339041274324,0.5733241161548321,0.9999999997998552,2.262568456707172e-12,0.4999999999966601,2.5850432905372145e-12,0.5000000000034848,0.25000000000007244,1.0000000000001448,0.5000000000043533,0.4999999999957916,0.0,2.0838590659930813e-05,1.570796326795124,1,split_operator,30
25.45599999999897,1590,4,2,0.6897792394549234,1.4371447250508937,0.7071067811841288,0.7071067811890691,0.5000000000000727,0.4877475777402756,1.0162147806299633,1.1272045865601819,1.1233047576260065,0.4116109449533659,0.8,0.7,1.0,1.2826924803725874,0.487897699589796,1.7705901799623835,0.2839206845612551,0.5915444983129436,0.9999999997998545,2.2727562380750395e-12,0.4999999999965795,2.4750201887968615e-12,0.500000000003566,0.2500000000000728,1.0000000000001457,0.5000000000043541,0.4999999999957915,0.0,2.0838675903373384e-05,1.570796326795125,1,split_operator,30
25.471999999998967,1591,4,2,0.6666449294342711,1.4545823357740024,0.7071067811840739,0.7071067811891237,0.5000000000000725,0.4713891502466005,1.0285450334199646,1.131420618843005,1.1410560012892983,0.4192680086022012,0.8,0.7,1.0,1.307904885774698,0.472207730968463,1.780112616743161,0.2795028920086618,0.6098598392679043,0.999999999799855,2.265816524025428e-12,0.49999999999650174,2.3624435740998706e-12,0.5000000000036433,0.25000000000007255,1.000000000000145,0.5000000000043541,0.499999999995791,0.0,2.0838723852656593e-05,1.5707963267951244,1,split_operator,30
25.487999999998966,1592,4,2,0.643233610580791,1.4717700904610305,0.7071067811840217,0.7071067811891761,0.5000000000000727,0.45483484792878426,1.040698611312533,1.1357501214960248,1.1587656534716617,0.4268724798218072,0.8,0.7,1.0,1.3330535995896937,0.4568747388886143,1.789928338478308,0.2745787264533569,0.6282581482426656,0.9999999997998548,2.269286465929703e-12,0.4999999999964279,2.2466473126314668e-12,0.5000000000037175,0.25000000000007266,1.0000000000001454,0.5000000000043543,0.4999999999957911,0.0,2.0838734508037877e-05,1.5707963267951246,1,split_operator,30
25.503999999998964,1593,4,2,0.6195493226086277,1.488702747688705,0.7071067811839725,0.7071067811892249,0.5000000000000724,0.4380875272960926,1.052671808061729,1.1401923596746095,1.1764308244105937,0.43442340471728536,0.8,0.7,1.0,1.3581179354898432,0.44192068157058395,1.800038617060427,0.2691467261179279,0.646727316262905,0.9999999997998554,2.259320219109244e-12,0.4999999999963584,2.128297538206425e-12,0.5000000000037863,0.25000000000007233,1.0000000000001448,0.500000000004353,0.49999999999579176,0.0,2.0838542710341127e-05,1.5707963267951237,1,split_operator,30
