tiempo,frame_number,periodo_numero,posicion,velocidad,aceleracion,momentum,energia_total,energia_cinetica,energia_potencial,amplitud,fase_inicial,fase_instantanea,omega,periodo,frecuencia,distancia_origen
18.8319999999997,1176,2,2.624008374207099,-1.4541595689920062,-2.624008374207099,-1.4541595689920062,4.5,1.0572900260455085,3.4427099739544915,3.0,0.5235987755982988,-0.5060428540592377,1.0,6.283185307179586,0.15915494309189535,3.0
18.847999999999697,1177,2,2.6004069478901215,-1.495955783225154,-2.6004069478901215,-1.495955783225154,4.500000000000001,1.118941852682392,3.3810581473176087,3.0,0.5235987755982988,-0.5220428540592358,1.0,6.283185307179586,0.15915494309189535,3.0000000000000004
18.863999999999695,1178,3,2.576139831596052,-1.53736904094764,-2.576139831596052,-1.53736904094764,4.500000000000001,1.181751784032133,3.3182482159678677,3.0,0.5235987755982988,-0.5380428540592341,1.0,6.283185307179586,0.15915494309189535,3.0000000000000004
18.879999999999693,1179,3,2.5512132375741325,-1.5783887405916563,-2.5512132375741325,-1.5783887405916563,4.500000000000001,1.2456555082132574,3.2543444917867435,3.0,0.5235987755982988,-0.5540428540592323,1.0,6.283185307179586,0.15915494309189535,3.0000000000000004
18.89599999999969,1180,3,2.5256335468963007,-1.6190043813381148,-2.5256335468963007,-1.6190043813381148,4.5,1.3105875933960058,3.1894124066039944,3.0,0.5235987755982988,-0.5700428540592305,1.0,6.283185307179586,0.15915494309189535,3.0
18.91199999999969,1181,3,2.499407307823673,-1.6592055658047977,-2.499407307823673,-1.6592055658047977,4.5,1.3764815547988094,3.1235184452011904,3.0,0.5235987755982988,-0.5860428540592287,1.0,6.283185307179586,0.15915494309189535,3.0
18.927999999999688,1182,3,2.4725412341302224,-1.6989820027080327,-2.4725412341302224,-1.6989820027080327,4.5,1.4432699227628987,3.0567300772371016,3.0,0.5235987755982988,-0.6020428540592271,1.0,6.283185307179586,0.15915494309189535,3.0
18.943999999999686,1183,3,2.4450422033840913,-1.7383235094972016,-2.4450422033840913,-1.7383235094972016,4.5,1.5108843118353337,2.989115688164666,3.0,0.5235987755982988,-0.6180428540592252,1.0,6.283185307179586,0.15915494309189535,3.0
18.959999999999685,1184,3,2.4169172551869704,-1.777220014961423,-2.4169172551869704,-1.777220014961423,4.5,1.5792554907897403,2.9207445092102597,3.0,0.5235987755982988,-0.6340428540592234,1.0,6.283185307179586,0.15915494309189535,3.0
18.975999999999683,1185,3,2.3881735893719997,-1.8156615618077225,-2.3881735893719997,-1.8156615618077225,4.499999999999999,1.648313453513029,2.8516865464869703,3.0,0.5235987755982988,-0.6500428540592218,1.0,6.283185307179586,0.15915494309189535,2.9999999999999996
