tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo
0.016,1,0,0,0.00010238363857388877,-1.638278019292507e-06,0.7071067811865476,0.7071067811865476,0.5000000000000001,7.239616511814933e-05,-1.1584374969105971e-06,7.240543281583633e-05,-0.016000000000000004,0.7999498245245044,0.8,0.7,1.0,0.250000000001342,0.25000000524120475,0.5000000052425467,8.19017737113626e-05,-1.3105402140553936e-06,0.9999999998,0.0,0.5,-2.0952879069477083e-20,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.032,2,0,0,0.00040933825214554146,-1.3103296966047132e-05,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.00028944585389116117,-9.26543014059304e-06,0.0002895941134251068,-0.032,0.7997993043919629,0.8,0.7,1.0,0.2500000000858482,0.2500000837789023,0.5000000838647505,0.00032738844932702596,-1.0480007798685815e-05,0.9999999998,0.0,0.5,8.446393755773279e-19,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.048,3,0,0,0.000920275196450681,-4.420716574896192e-05,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.0006507328319680587,-3.125918667812865e-05,0.0006514831965238611,-0.048,0.799548458483424,0.8,0.7,1.0,0.25000000097713676,0.2500004234532186,0.5000004244303553,0.0007358046147026723,-3.534577122850372e-05,0.9999999998,0.0,0.5,1.6795160462523348e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.064,4,0,0,0.0016342142713457338,-0.00010473274753987152,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.0011555639931804008,-7.405723599774184e-05,0.0011579346339662955,-0.06400000000000002,0.7991973182646693,0.8,0.7,1.0,0.2500000054844742,0.2500013353281424,0.5000013408126166,0.0013060596631293611,-8.370213096835596e-05,0.9999999998,0.0,0.5000000000000001,1.683493073494002e-18,0.5,0.25000000000000006,1.0,0.5000000000000001,0.5,0.0,2.0000011929630398e-05,1.5707963267948966,1,analitico
0.08,5,0,0,0.0025497850301611606,-0.0002044190826361264,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.0018029702853949022,-0.0001445461195359382,0.0018087552158017053,-0.08000000000000002,0.7987459277822676,0.8,0.7,1.0,0.2500000208935807,0.2500032507018501,0.5000032715954308,0.0020366304095614136,-0.00016327890981659282,0.9999999998,0.0,0.5000000000000001,-2.6773777392894558e-18,0.5,0.25000000000000006,1.0,0.5000000000000001,0.5,0.0,2.0000011929630398e-05,1.5707963267948966,1,analitico
0.096,6,0,0,0.0036652286105987647,-0.0003529468661404103,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.002591708005153334,-0.00024957112244642477,0.00260369662770743,-0.09600000000000003,0.7981943436580489,0.8,0.7,1.0,0.2500000622857452,0.25000671695038396,0.5000067792361291,0.0029255647451935833,-0.00028172019216511,0.9999999998,0.0,0.5,5.55583579037383e-19,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.112,7,0,0,0.004978400084987256,-0.0005599239986318221,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.0035202604595541732,-0.0003959260563816486,0.0035424555248051433,-0.11200000000000003,0.7975426350820025,0.8,0.7,1.0,0.25000015675744214,0.2500123922337031,0.5000125489911452,0.003970486322273202,-0.00044656326131447497,0.9999999998,0.0,0.5,1.7844269463356556e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.128,8,0,0,0.006486771327084212,-0.0008348712279174711,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.004586839993387706,-0.0005903431066779834,0.0046246736218400475,-0.12800000000000003,0.7967908838035977,0.8,0.7,1.0,0.2500003485049836,0.25002103910112494,0.5000213876061086,0.005168600258739266,-0.0006652177835545567,0.9999999998,0.0,0.5,-2.4505618942066605e-19,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.14400000000000002,9,0,0,0.00818743439199494,-0.001187207899848392,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.00578939037909958,-0.0008394827566610374,0.005849937799698557,-0.14400000000000002,0.7959391841215293,0.8,0.7,1.0,0.2500007047312987,0.2500335170409616,0.5000342217722603,0.006516699850013003,-0.0009449452871879634,0.9999999998,0.0,0.5,-2.813470232068003e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
0.16000000000000003,10,0,0,0.010077105405158805,-0.0016262378360564077,0.7071067811865475,0.7071067811865476,0.5,0.007125589566719402,-0.0011499238016976227,0.007217780228231607,-0.16000000000000003,0.7949876428718883,0.8,0.7,1.0,0.2500013223247497,0.2500507740266733,0.500052096351423,0.008011174273018763,-0.001292838984035564,0.9999999998000002,0.0,0.49999999999999994,-6.139045726231844e-18,0.5,0.24999999999999994,1.0,0.5,0.49999999999999994,0.0,2.0000006378517816e-05,1.5707963267948963,1,analitico
