tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,n_promedio,n_varianza,mandel_Q,fano_F,energia_total,energia_cinetica,energia_potencial,pureza,entropia,fase,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,prob_n0,prob_n1,prob_n2,prob_n3,prob_n4,prob_n5
7.2480000000000055,453,1,0.7787448830880204,1.1238041094809477,0.6932493809852304,0.7259126002933344,0.503238460802733,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,0.894942389875448,0.5435191485860899,1.0011410842397437,0.0,1.248005555346115,0.48059470423640516,0.06179413871641082,0.5269491032646303,0.2494304328514009,1.0075438075010354,0.5697696170216607,0.4377741904793747,0.9648146928204197,0.6400473802127362,1.5690059585087017,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615384,0.01538461538461538
7.264000000000006,454,1,0.7606651072915501,1.1361196521366816,0.691830539201725,0.7272649534584257,0.50314410489366,0.9846153846153844,1.1536094674556208,0.17163461536718339,1.171634615265621,1.484615384615384,0.9098410882500303,0.5286204502115075,1.0011410842397437,0.0,1.2255260932926095,0.47862949497214957,0.061020959004603026,0.528914312528886,0.2494304328514009,1.0075438075010354,0.5697696170216607,0.4377741904793748,0.9808146928204202,0.640047380212736,1.5690059585087017,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.061538461538461535,0.015384615384615377,0.01538461538461538
7.280000000000006,455,1,0.7423906053818239,1.1481443543661438,0.6904274251053338,0.7285971302190628,0.5030434405562831,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153844,0.9245446183131516,0.5139169201483862,1.0011410842397437,0.0,1.2038258172300695,0.4766900293375814,0.060185299162685446,0.5308537781634539,0.24943043285140085,1.0075438075010354,0.5697696170216606,0.4377741904793747,0.996814692820415,0.640047380212736,1.5690059585087015,0.3846153846153845,0.38461538461538464,0.1384615384615384,0.06153846153846152,0.01538461538461538,0.01538461538461538
7.296000000000006,456,1,0.7239260555315277,1.159875137911234,0.6890415757964404,0.7299078807116647,0.5029368763118057,0.9846153846153843,1.1536094674556214,0.1716346153671842,1.1716346152656216,1.4846153846153842,0.9390379249347989,0.49942361352673914,1.0011410842397435,0.0,1.1829612337343625,0.4747782931760418,0.059288014833317026,0.5327655143249936,0.24943043285140096,1.0075438075010354,0.5697696170216605,0.43777419047937494,1.0128146928204176,0.6400473802127353,1.569005958508702,0.3846153846153845,0.38461538461538464,0.13846153846153839,0.06153846153846149,0.01538461538461538,0.015384615384615384
7.312000000000006,457,1,0.705276184564582,1.1713089997554298,0.6876745188956161,0.731195981637426,0.5028248448909247,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,0.9533061682353923,0.4851553702261457,1.001141084239743,0.0,1.1629933838477136,0.4728962439383171,0.05833002475724902,0.534647563562719,0.24943043285140118,1.0075438075010361,0.5697696170216614,0.4377741904793747,1.0288146928204163,0.6400473802127372,1.5690059585087026,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.01538461538461538,0.01538461538461538
7.328000000000006,458,1,0.6864457667461041,1.1824430128925427,0.6863277705866013,0.7324602370249601,0.5027078015206744,0.9846153846153843,1.153609467455621,0.17163461536718375,1.1716346152656212,1.484615384615384,0.9673347387805273,0.4711267996810107,1.0011410842397437,0.0,1.143988137329266,0.47104580867837453,0.05731230983260971,0.5364979988226608,0.24943043285140085,1.0075438075010354,0.5697696170216607,0.4377741904793746,1.044814692820423,0.6400473802127364,1.5690059585087015,0.38461538461538464,0.3846153846153845,0.1384615384615384,0.06153846153846151,0.015384615384615377,0.01538461538461538
7.344000000000006,459,1,0.6674396225602168,1.1932743270760147,0.6850028336293476,0.7336994789563368,0.5025862221174666,0.9846153846153846,1.153609467455621,0.1716346153671835,1.171634615265621,1.4846153846153844,0.9811092725397579,0.45735226592178013,1.0011410842397435,0.0,1.126016467373906,0.46922888208023555,0.05623591211055823,0.5383149254208002,0.249430432851401,1.0075438075010357,0.569769617021661,0.43777419047937477,1.060814692820416,0.6400473802127364,1.5690059585087022,0.38461538461538464,0.38461538461538464,0.13846153846153847,0.06153846153846151,0.015384615384615384,0.015384615384615377
7.360000000000006,460,1,0.6482626174760329,1.2038001695485687,0.6837011953463099,0.7349125682576556,0.5024606013927857,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153842,0.994615665594113,0.44384587286742516,1.001141084239743,0.0,1.1091546883330587,0.467447324517973,0.05510193372830563,0.5400964829830632,0.24943043285140123,1.0075438075010363,0.5697696170216614,0.4377741904793748,1.0768146928204247,0.640047380212737,1.5690059585087028,0.3846153846153845,0.3846153846153845,0.13846153846153847,0.06153846153846152,0.015384615384615384,0.01538461538461538
7.376000000000006,461,1,0.628919660702122,1.214017845752017,0.682424325585529,0.7360983951552751,0.5023314508784288,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,1.0078400885772698,0.4306214498842682,1.0011410842397435,0.0,1.0934846328160104,0.4657029601508641,0.053911535780632125,0.5418408473501715,0.24943043285140096,1.0075438075010354,0.5697696170216606,0.43777419047937494,1.092814692820418,0.6400473802127356,1.569005958508702,0.3846153846153845,0.38461538461538436,0.1384615384615384,0.06153846153846152,0.01538461538461538,0.015384615384615377
7.392000000000006,462,1,0.6094157039297833,1.2239247400170514,0.6811736746642509,0.7372558798988562,0.5021992968785296,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,1.0207690008356218,0.41769253762591607,1.0011410842397435,0.0,1.0790937367819655,0.46399757505559885,0.05266593713101997,0.5435462324454368,0.24943043285140096,1.0075438075010357,0.5697696170216608,0.43777419047937477,1.1088146928204208,0.6400473802127362,1.569005958508702,0.3846153846153845,0.38461538461538436,0.1384615384615384,0.06153846153846152,0.015384615384615377,0.01538461538461538
